Hashtag,tweet,split
#climatechange,RT @Clarsonimus: An #ideology is a simple idea that dresses itself up like #science or #philosophy to sell itself as an explanation of and…,-0.633144030148978
#climatechange,RT @Lynestel: @RNBreakfast The DeputyPM Michael Mcormack disgracefully ranting about Greenies and refusing to acknowledge Govt negligence o…,0.6402869823821475
#climatechange,RT @JimBair62221006: Banking Giant HSBC Warns of US$10,-0.985092649185429
#climatechange,RT @PeterGleick: Scientists:,1.6333241355083177
#climatechange,RT @theSNP: 🌍 Guardian's analysis shows the SNP are the strongest main party on #ClimateChange.,-0.5974107281002202
#climatechange,RT @drkerrynphelps: Whenever there is a gun massacre in the USA,0.9302810893469263
#climatechange,Please give @BrianMathew4NW a follow and vote for him for #LibDems MP for #NorthWilts for a #BrighterFuture… https://t.co/lTa8Ev6IyO,-0.7686331308840414
#climatechange,RT @johnlittle: That total waste of space Gladys Berejiklian just refused to admit the current catastrophic fire conditions are even slight…,0.2581431463622189
#greta,RT @NeilUKIP: Greta’s watching: Have you done anything this week that #Greta might disapprove of?,-0.12965284000038338
#greta,RT @ellymelly: Remember the first rule of #ClimateChange-alarmism:,1.2575418224585704
#greta,RT @ellymelly: Remember the first rule of #ClimateChange-alarmism:,1.5118871560106406
#greta,Yikes! 😂😂😂,0.24604606720542935
#greta,RT @NeilUKIP: Greta’s watching: Have you done anything this week that #Greta might disapprove of?,1.1884092738691243
#greta,RT @ellymelly: Remember the first rule of #ClimateChange-alarmism:,1.2786881945331179
#greta,RT @charliesmithvcr: Why #Vancouver will never be the same after today's speech by teenage climate revolutionary @GretaThunberg https://t.c…,0.5466836245934222
#greta,RT @JWSpry: FEAR NOT #GRETA,-0.8132364401285788
#greta,RT @JWSpry: FEAR NOT #GRETA,1.3825447329324478
#greta,RT @ellymelly: Remember the first rule of #ClimateChange-alarmism:,0.1893356095027694
#greta,RT @JWSpry: FEAR NOT #GRETA,1.1633388075813387
#greta,#Globalwarming #Earth #Savetheearth #Savetheplanet #Love #Helptheearth #Planet #Life #Futures #OurFUTURE… https://t.co/YyipaideZN,-0.6530534464994296
#greta,RT @Savethe64387573: #Globalwarming #Earth #Savetheearth #Savetheplanet #Love #Helptheearth #Planet #Life #Futures #OurFUTURE #ClimateChang…,0.9301322803782373
#GretaThunberg,RT @ChinaBazzar: Little Sister is watching you #bigbrotheriswatchingyou #Orwellian #GretaThunberg 'The foundations which financed the 'clim…,-0.19440137239984703
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,-0.3550934639630022
Greta Thunberg,It wont be there for long...,0.19261514334963514
 biodegradable, sustainable,-0.5146416953434468
Greta Thunberg,RT @B52Malmet: Greta Thunberg will not be silenced. https://t.co/YRtGs5l4tS,0.5219677313881828
Greta Thunberg,Greta Thunberg turns down environmental prize,1.1500139600669679
Greta Thunberg,RT @ryxcommar: Peak California liberalism is painting a mural honoring a 16 year-old climate activist within a year of her rise to prominen…,0.8201325743460742
Greta Thunberg,RT @roxmo: Jesus Christ! Poor San Franciscans,-0.48993228914794446
Greta Thunberg,RT @qgotnorings: liberal idolatry in place of structural change is one of the best ways to co-opt a movement/growing sentiment. https://t.c…,0.6336452437803809
Greta Thunberg,RT @SupremeTankie: At this point y’all are deliberately trying to give @earwulf a stroke. https://t.co/MZgwM5Skod,0.056328014423496775
Greta Thunberg,RT @MrAndyNgo: I thought this was Putin. https://t.co/hOuQSmVPpn,-0.03174366367070796
Greta Thunberg,RT @hughriminton: There was a time when #climate science was not a left/right thing. It was just climate science. https://t.co/5LFQGMIFJH,0.4756800660712216
Greta Thunberg,RT @qgotnorings: liberal idolatry in place of structural change is one of the best ways to co-opt a movement/growing sentiment. https://t.c…,2.016069288842388
Greta Thunberg,RT @ryxcommar: Peak California liberalism is painting a mural honoring a 16 year-old climate activist within a year of her rise to prominen…,-0.7229768208447808
Greta Thunberg,"This is the most SF thing ever -- spend thousands of $$$ on symbols / appearing to be ""woke"" while doing exactly 0… https://t.co/DcMrpLP8jj",0.04371504377104239
Greta Thunberg,RT @ryxcommar: Peak California liberalism is painting a mural honoring a 16 year-old climate activist within a year of her rise to prominen…,0.059880836491743694
Greta Thunberg,RT @groth1945: SF is mostly LIBERAL however,0.3880814609542855
Greta Thunberg,RT @WayneDupreeShow: This god-worship of Greta T is going to far,-0.6986068700156682
Greta Thunberg,RT @inthecopa: Patriots! Don’t be triggered! It’s only SF — s__thole sanctuary slum.,1.0609098811563582
Greta Thunberg,RT @dearnonnatives: The way y’all idolize white people for doing the same thing Black and Indigenous people have already BEEN doing. https:…,0.20589407330248136
Greta Thunberg,RT @ryxcommar: Peak California liberalism is painting a mural honoring a 16 year-old climate activist within a year of her rise to prominen…,0.2801049435306397
Greta Thunberg,RT @TomLondon6: You know these terrible things the Tories &amp; the mainstream media pump out about Mr Corbyn?,1.3958746925615162
Greta Thunberg,RT @CNN: Teen climate activist Greta Thunberg is getting a huge mural in downtown San Francisco https://t.co/NNOUukg0ZL https://t.co/px8ksl…,-0.34064827103890827
Greta Thunberg,@MikeHudema 100 % for green energy!,-0.12671097725447258
Greta Thunberg,RT @ryxcommar: Peak California liberalism is painting a mural honoring a 16 year-old climate activist within a year of her rise to prominen…,0.07104016766804953
Greta Thunberg,RT @qgotnorings: liberal idolatry in place of structural change is one of the best ways to co-opt a movement/growing sentiment. https://t.c…,-0.896812448684015
Greta Thunberg,RT @dearnonnatives: The way y’all idolize white people for doing the same thing Black and Indigenous people have already BEEN doing. https:…,0.39560151335739063
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,-1.8597130868937606
Greta Thunberg,RT @MamoudouNDiaye: didn't she explicitly say she wants change not idolatry? https://t.co/7iLCeSFnP4,0.20223320179378057
Greta Thunberg,Mural of 16-year-old climate activist Greta Thunberg goes up in San Francisco to mixed responses https://t.co/raVDpgJu3N,-0.4185630784014058
